iter	Passed	Remaining
867	1688	256
868	1690	254
869	1691	252
870	1693	250
871	1694	248
872	1696	246
873	1697	244
874	1699	242
875	1702	240
876	1703	238
877	1705	236
878	1706	234
879	1709	233
880	1710	231
881	1712	229
882	1713	227
883	1715	225
884	1716	223
885	1718	221
886	1720	219
887	1721	217
888	1723	215
889	1724	213
890	1726	211
891	1728	209
892	1730	207
893	1732	205
894	1734	203
895	1735	201
896	1737	199
897	1739	197
898	1741	195
899	1742	193
900	1744	191
901	1745	189
902	1747	187
903	1748	185
904	1750	183
905	1752	181
906	1753	179
907	1755	177
908	1757	175
909	1758	173
910	1760	172
911	1763	170
912	1764	168
913	1766	166
914	1767	164
915	1769	162
916	1770	160
917	1772	158
918	1773	156
919	1775	154
920	1777	152
921	1779	150
922	1781	148
923	1783	146
924	1784	144
925	1786	142
926	1787	140
927	1789	138
928	1791	136
929	1792	134
930	1793	132
931	1795	131
932	1796	129
933	1798	127
934	1800	125
935	1801	123
936	1803	121
937	1805	119
938	1806	117
939	1808	115
940	1809	113
941	1811	111
942	1813	109
943	1815	107
944	1816	105
945	1818	103
946	1819	101
947	1821	99
948	1822	97
949	1824	96
950	1826	94
951	1827	92
952	1829	90
953	1830	88
954	1832	86
955	1834	84
956	1835	82
957	1837	80
958	1838	78
959	1840	76
960	1842	74
961	1843	72
962	1844	70
963	1846	68
964	1848	67
965	1849	65
966	1850	63
967	1852	61
968	1853	59
969	1854	57
970	1855	55
971	1857	53
972	1858	51
973	1859	49
974	1861	47
975	1862	45
976	1864	43
977	1865	41
978	1866	40
979	1868	38
980	1869	36
981	1870	34
982	1871	32
983	1872	30
984	1873	28
985	1874	26
986	1876	24
987	1876	22
988	1877	20
989	1878	18
990	1879	17
991	1880	15
992	1881	13
993	1883	11
994	1884	9
995	1885	7
996	1885	5
997	1886	3
998	1888	1
999	1889	0
5
997	1840	3
998	1841	1
999	1842	0
